 TIME,,,, EXPENSES,,,,,,,,,,,SOCIAL SECURITY,,,,,DRAW,,,,,INVESTMENTS,,WEALTH,,LTC,,Orcas,,,Portland,,
year,yrs,erik,deb,loans, health ,dogs,cars,travel,living,allowance,orcas,portland,LTC,TOTAL,erik,debbie,subtotal,tax,SS,gross,tax,draw,rate,capspend,investment,ROI,invest+RE,real estate,monthly,entrance,VALUE,PRINC,EQUITY,VALUE,PRINC,EQUITY
2036,10,79,74,"$41,052","$38,102","$20,980","$23,042","$46,083","$43,035","$83,559","$29,563","$41,082",$0,"$366,497","$78,148","$71,418","$149,566","$20,341","$129,225","$237,271","$37,963","$275,235",4%,$0,"$3,762,317","$282,174","$7,477,340","$3,715,022","$24,962","$3,104,503","$3,257,789","$668,632","$2,589,157","$1,547,450","$421,585","$1,125,865"
2037,11,80,75,"$14,820","$40,388","$21,504","$23,618","$47,235","$44,111","$84,812",$0,"$42,109",$0,"$318,597","$80,102","$73,204","$153,306","$20,850","$132,456","$186,141","$29,783","$215,924",3%,$0,"$6,358,414","$476,881","$7,564,918","$1,206,504","$25,586","$3,182,116",$0,$0,$0,"$1,624,822","$418,318","$1,206,504"
2038,12,81,76,"$14,820","$42,811","$22,042","$24,208","$48,416","$45,214","$86,085",$0,"$43,161",$0,"$326,757","$82,104","$75,034","$157,138","$21,371","$135,767","$190,990","$30,558","$221,548",3%,$0,"$6,619,371","$496,453","$7,910,475","$1,291,104","$26,225","$3,261,669",$0,$0,$0,"$1,706,064","$414,960","$1,291,104"
2039,13,82,77,"$14,820","$45,380","$22,593","$24,813","$49,626","$46,344","$87,376",$0,"$44,240",$0,"$335,193","$84,157","$76,910","$161,067","$21,905","$139,162","$196,031","$31,365","$227,396",3%,$0,"$6,894,276","$517,071","$8,274,135","$1,379,859","$26,881","$3,343,210",$0,$0,$0,"$1,791,367","$411,508","$1,379,859"
2040,14,83,78,"$14,820","$48,103","$23,158","$25,434","$50,867","$47,503","$88,686",$0,"$45,346",$0,"$343,917","$86,261","$78,832","$165,093","$22,453","$142,641","$201,276","$32,204","$233,480",3%,$0,"$7,183,951","$538,796","$8,656,926","$1,472,975","$27,553","$3,426,791",$0,$0,$0,"$1,880,935","$407,960","$1,472,975"
2041,15,84,79,$0,"$50,989","$23,737","$26,069","$52,139","$48,690","$90,017",$0,$0,"$28,242","$291,641","$88,417","$80,803","$169,221","$23,014","$146,207","$145,434","$23,270","$168,704",3%,$0,"$5,535,451","$415,159","$5,535,451",$0,"$28,242",$0,$0,$0,$0,$0,$0,$0
2042,16,85,80,$0,"$54,049","$24,330","$26,721","$53,442","$49,908","$91,367",$0,$0,"$28,948","$299,817","$90,628","$82,823","$173,451","$23,589","$149,862","$149,955","$23,993","$173,947",3%,$0,"$5,781,906","$433,643","$5,781,906",$0,"$28,948",$0,$0,$0,$0,$0,$0,$0
2043,17,86,81,$0,"$57,291","$24,938","$27,389","$54,778","$51,155","$92,737",$0,$0,"$29,672","$308,290","$92,894","$84,894","$177,787","$24,179","$153,608","$154,682","$24,749","$179,431",3%,$0,"$6,041,601","$453,120","$6,041,601",$0,"$29,672",$0,$0,$0,$0,$0,$0,$0
2044,18,87,82,$0,"$60,729","$25,562","$28,074","$56,148","$52,434","$94,129",$0,$0,"$30,413","$317,075","$95,216","$87,016","$182,232","$24,784","$157,449","$159,626","$25,540","$185,167",3%,$0,"$6,315,291","$473,647","$6,315,291",$0,"$30,413",$0,$0,$0,$0,$0,$0,$0
2045,19,88,83,$0,"$64,373","$26,201","$28,776","$57,551","$53,745","$95,540",$0,$0,"$31,174","$326,186","$97,596","$89,192","$186,788","$25,403","$161,385","$164,801","$26,368","$191,170",3%,$0,"$6,603,771","$495,283","$6,603,771",$0,"$31,174",$0,$0,$0,$0,$0,$0,$0
2046,20,89,84,$0,"$68,235","$26,856","$29,495","$58,990","$55,089","$96,974",$0,$0,"$31,953","$335,638","$100,036","$91,421","$191,458","$26,038","$165,419","$170,219","$27,235","$197,454",3%,$0,"$6,907,884","$518,091","$6,907,884",$0,"$31,953",$0,$0,$0,$0,$0,$0,$0
2047,21,90,85,$0,"$72,329","$27,527","$30,232","$60,465","$56,466","$98,428",$0,$0,"$32,752","$345,448","$102,537","$93,707","$196,244","$26,689","$169,555","$175,893","$28,143","$204,036",3%,$0,"$7,228,521","$542,139","$7,228,521",$0,"$32,752",$0,$0,$0,$0,$0,$0,$0
2048,22,91,86,$0,"$76,669","$28,216","$30,988","$61,977","$57,878","$99,905",$0,$0,"$33,571","$355,631","$105,101","$96,050","$201,150","$27,356","$173,794","$181,838","$29,094","$210,932",3%,$0,"$7,566,624","$567,497","$7,566,624",$0,"$33,571",$0,$0,$0,$0,$0,$0,$0
2049,23,92,87,$0,"$81,269","$28,921","$31,763","$63,526","$59,324","$101,403",$0,$0,"$34,410","$366,207","$107,728","$98,451","$206,179","$28,040","$178,139","$188,068","$30,091","$218,159",3%,$0,"$7,923,189","$594,239","$7,923,189",$0,"$34,410",$0,$0,$0,$0,$0,$0,$0
2050,24,93,88,$0,"$86,145","$29,644","$32,557","$65,114","$60,808","$102,924",$0,$0,"$35,270","$377,192","$110,421","$100,912","$211,333","$28,741","$182,592","$194,600","$31,136","$225,736",3%,$0,"$8,299,270","$622,445","$8,299,270",$0,"$35,270",$0,$0,$0,$0,$0,$0,$0
2051,25,94,89,$0,"$91,314","$30,385","$33,371","$66,742","$62,328","$104,468",$0,$0,"$36,152","$388,608","$113,182","$103,435","$216,617","$29,460","$187,157","$201,451","$32,232","$233,683",3%,$0,"$8,695,979","$652,198","$8,695,979",$0,"$36,152",$0,$0,$0,$0,$0,$0,$0
2052,26,95,90,$0,"$96,793","$31,145","$34,205","$68,411","$63,886","$106,035",$0,$0,"$37,056","$400,474","$116,011","$106,021","$222,032","$30,196","$191,836","$208,638","$33,382","$242,021",3%,$0,"$9,114,495","$683,587","$9,114,495",$0,"$37,056",$0,$0,$0,$0,$0,$0,$0
2053,27,96,91,$0,"$102,600","$31,923","$35,060","$70,121","$65,483","$107,626",$0,$0,"$37,982","$412,813","$118,912","$108,671","$227,583","$30,951","$196,632","$216,182","$34,589","$250,771",3%,$0,"$9,556,061","$716,705","$9,556,061",$0,"$37,982",$0,$0,$0,$0,$0,$0,$0
2054,28,97,92,$0,"$108,756","$32,721","$35,937","$71,874","$67,120","$109,240",$0,$0,"$38,932","$425,649","$121,884","$111,388","$233,273","$31,725","$201,548","$224,101","$35,856","$259,957",3%,$0,"$10,021,995","$751,650","$10,021,995",$0,"$38,932",$0,$0,$0,$0,$0,$0,$0
2055,29,98,93,$0,"$115,282","$33,539","$36,835","$73,671","$68,798","$110,879",$0,$0,$0,"$439,004","$124,931","$114,173","$239,104","$32,518","$206,586","$232,418","$37,187","$269,604",3%,$0,"$10,513,687","$788,527","$10,513,687",$0,"$39,905",$0,$0,$0,$0,$0,$0,$0
2056,30,99,94,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2057,31,100,95,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2058,32,101,96,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2059,33,102,97,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2060,34,103,98,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2061,35,104,99,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2062,36,105,100,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
